unix_epoch_start_time,end_time,sensor_timestamp,frame_count,bme280_start_time,bme280_end_time,bme280_byte0,bme280_byte1,bme280_byte2,bme280_byte3,bme280_byte4,bme280_byte5,bme280_byte6,bme280_byte7,mpu6050_start_time,mpu6050_end_time,mpu6050_byte0,mpu6050_byte1,mpu6050_byte2,mpu6050_byte3,mpu6050_byte4,mpu6050_byte5,mpu6050_byte6,mpu6050_byte7,mpu6050_byte8,mpu6050_byte9,mpu6050_byte10,mpu6050_byte11,mpu6050_byte12,mpu6050_byte13,icm20948_start_time,icm20948_end_time,icm20948_axRaw,icm20948_ayRaw,icm20948_azRaw,icm20948_gxRaw,icm20948_gyRaw,icm20948_gzRaw,icm20948_mxRaw,icm20948_myRaw,icm20948_mzRaw,icm20948_tmpRaw,ivk172_latitude,ivk172_longitude,ivk172_altitude,ivk172_altitude_units,ivk172_num_sats,ivk172_datestamp,ivk172_timestamp,ivk172_spd_over_grnd,ivk172_true_course,ivk172_true_track,ivk172_spd_over_grnd_kmph,ivk172_pdop,ivk172_hdop,ivk172_vdop,ivk172_num_sv_in_view,ivk172_frame,powermonitor_start_time,powermonitor_end_time,powermonitor_voltage,powermonitor_throttled,powermonitor_cpu,powermonitor_mem_used_B,powermonitor_mem_total_B,powermonitor_mem_available_B,powermonitor_mem_percent_used,powermonitor_temp,powermonitor_disk_used_B,powermonitor_disk_total_B,powermonitor_disk_free_B,powermonitor_disk_percent_used
1757215256.1718304,14245281360,14201605000,14,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14213950526,14217854878,-16376,-664,168,-121,55,-157,199,-52,103,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14281068360,14234919000,15,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14245504841,14249342712,-16232,-768,-80,-238,-71,217,199,-60,101,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14311093193,14268247000,16,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14281302489,14285192249,-16352,-576,-64,-205,-225,-55,199,-57,101,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14350672360,14301574000,17,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14311334100,14315442026,-16464,-832,64,-262,19,-150,204,-50,101,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14392716045,14334903000,18,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14351264767,14357204137,-16432,-632,24,12,-55,-382,199,-62,105,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14416235526,14368265000,19,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14394221286,14399615767,-16744,-768,128,-9,-234,-18,202,-51,95,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14451628897,14401582000,20,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14417918304,14422313026,-16440,-784,88,-9,-197,83,194,-62,108,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14482662452,14434925000,21,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14452709989,14459986952,-16504,-632,0,14,-129,85,204,-57,110,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14515925582,14468242000,22,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14483795267,14490767434,-16400,-464,72,27,79,-149,198,-61,104,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14546704915,14501560000,23,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14516409711,14523278100,-16456,-512,160,-293,-86,-298,204,-57,103,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14577018508,14534872000,24,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14546967841,14550738119,-16480,-608,-32,-207,107,-133,191,-58,104,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14610428785,14568193000,25,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14577771508,14582368989,-16360,-904,184,-140,-290,62,195,-53,97,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14644178563,14601521000,26,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14610794656,14614707156,-16488,-712,40,30,29,58,201,-62,108,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14682052026,14634848000,27,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14644612748,14648607859,-16504,-648,72,-96,149,-59,197,-60,103,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14716094674,14668178000,28,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14682646211,14687318137,-16664,-632,152,-92,204,-30,187,-65,98,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14750246471,14701524000,29,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14716459582,14725060489,-16296,-744,0,-63,-163,-89,204,-50,105,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14782950248,14734854000,30,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14751169804,14757069915,-16312,-688,16,-160,-319,36,200,-53,104,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14813517267,14768165000,31,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14783192415,14786964859,-16576,-744,-72,2,-155,-39,195,-61,116,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14844201267,14801493000,32,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14814189452,14818086359,-16656,-696,16,-152,-221,-327,202,-61,111,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14876712359,14834811000,33,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14844894785,14848705489,-16440,-752,-8,-385,-23,-14,198,-56,104,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14910245989,14868139000,34,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14877388156,14882108230,-16656,-728,-32,-142,2,251,194,-52,103,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14943929674,14901467000,35,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14910935822,14915934952,-16816,-504,136,240,-46,19,200,-66,104,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,14981323841,14934794000,36,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14944680285,14951483248,-16464,-648,176,-7,78,47,201,-60,105,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15014144526,14968121000,37,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14982076452,14988042619,-16632,-664,144,-281,-9,282,194,-55,108,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15044107711,15001453000,38,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15014910841,15020180544,-16504,-688,256,4,119,-164,206,-57,103,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15079880526,15034776000,39,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15044774341,15050065248,-16392,-712,72,-94,144,116,195,-58,104,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15118092841,15068103000,40,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15080299563,15084617952,-16416,-608,192,-237,0,189,201,-60,98,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15154264674,15101440000,41,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118505970,15123213544,-16432,-632,48,-90,-14,-294,202,-58,109,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15191278396,15134793000,42,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15155207007,15160127081,-16496,-424,64,-184,-137,-289,204,-52,108,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15225521655,15168101000,43,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15194621248,15200672785,-16760,-584,176,-33,-266,95,191,-51,107,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15248390618,15201436000,44,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15225872507,15230738748,-16592,-616,120,-34,-187,-259,201,-55,101,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15279349841,15234742000,45,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15248872081,15253851526,-16496,-664,-64,-140,-124,14,186,-58,95,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15312036415,15268073000,46,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15279771137,15283900544,-16440,-576,192,30,-20,-282,201,-60,108,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15344874526,15301395000,47,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15312427804,15316503100,-16360,-632,-40,-105,-73,32,198,-58,107,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15382290933,15334723000,48,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15346439026,15351502304,-16352,-536,136,-351,-152,-84,198,-51,104,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15410634266,15368050000,49,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15382536748,15386558211,-16592,-624,-8,-208,70,-43,188,-53,114,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15444729211,15401378000,50,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15410971433,15415025989,-16552,-784,280,-164,170,16,206,-65,101,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15476882285,15434705000,51,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15445207285,15451036396,-16464,-672,104,-116,13,-108,193,-56,97,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15511023415,15468032000,52,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15477111229,15481228359,-16352,-912,136,-189,61,-527,195,-61,111,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15544284359,15501358000,53,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15511365229,15515792044,-16472,-576,80,-132,237,61,205,-61,102,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757215256.1718304,15578182933,15534688000,54,13655308823,13656802712,128,0,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15544570896,15550652192,-16352,-608,128,-32,58,35,197,-47,101,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
